mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_bootstrap;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
10.663177394866944;0.07108942343443436;0.4188871383666992;0.006428954459376788;True;10;sqrt;1;10;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300};0.6756773559347555;0.6727912890547421;0.6812358175177557;0.678876374434916;0.6721769243329389;0.6761515522550217;0.0034810431545212474;131
3.5672226428985594;0.02898450328959842;0.141526460647583;0.005637502926600102;True;10;sqrt;2;2;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100};0.6736334653676952;0.6730789313091473;0.6804902903659;0.6765870578866255;0.6706842189516131;0.6748947927761962;0.0033701805919437253;157
7.145377826690674;0.05642136816285498;0.27901134490966795;0.0022238535088617067;True;10;sqrt;2;2;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200};0.6762512670566021;0.6731166387908547;0.6814140594826612;0.6778866706173713;0.6717028780443046;0.6760743027983589;0.003455028962810088;134
10.674442052841187;0.026017506067085104;0.4223174571990967;0.008674967181697017;True;10;sqrt;2;2;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300};0.6760158638828873;0.6729156462410992;0.6805120145369419;0.6775451382335034;0.6721497155482481;0.675827675688536;0.0030638351500310535;144
3.5460068702697756;0.02604858237946773;0.13930134773254393;0.002786711668782652;True;10;sqrt;2;5;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100};0.6761073418973802;0.6721303421377812;0.6793328157489336;0.6796069834518068;0.6709783347456952;0.6756311635963194;0.0035676514727311604;148
7.073637056350708;0.02795915586145008;0.2751920223236084;0.004025146252029132;True;10;sqrt;2;5;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200};0.6751344911916628;0.673192452233315;0.6816178501556367;0.6772500898835967;0.6709618018761295;0.6756313370680682;0.0036457721705080285;147
10.633038330078126;0.026536419396862958;0.4225630760192871;0.005992565591703408;True;10;sqrt;2;5;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300};0.6760022215602453;0.6735421166742862;0.6811109610944757;0.6786845333290681;0.6713059662944411;0.6761291597905033;0.0035020102528057298;132
3.5742844104766847;0.024446853631287926;0.14273738861083984;0.0016744124894461777;True;10;sqrt;2;10;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100};0.6754600034259881;0.6729136870450007;0.6794279366537006;0.6786483230110607;0.6705614924482066;0.6754022885167913;0.0033577479873854515;150
7.053408813476563;0.035692428839691565;0.28282666206359863;0.002648638912355064;True;10;sqrt;2;10;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200};0.6763773199509513;0.6724919059052162;0.6808464998750565;0.6775966131763419;0.6711752480447848;0.6756975173904701;0.003501644812971387;145
10.573240327835084;0.0488161284380689;0.414078950881958;0.008957672713613299;True;10;sqrt;2;10;300;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300};0.675769455523691;0.6731172406298149;0.6803388238888466;0.6791804806393431;0.6715104265364076;0.6759832854436206;0.003389960919557246;140
3.5172000885009767;0.025102066607560952;0.14119243621826172;0.002061399303618744;True;10;sqrt;4;2;100;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100};0.6726535335821193;0.6720849255629286;0.67847096925542;0.6775380717586749;0.669957671041379;0.6741410342401044;0.0032932953068847332;162
7.045770311355591;0.008587707265699872;0.28066039085388184;0.006719816121424266;True;10;sqrt;4;2;200;{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200};0.6743940362679427;0.6734432271291684;0.6788794047991089;0.6780183985809833;0.6709504200022538;0.6751370973558913;0.002941304647197962;156
