mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_algorithm;param_leaf_size;param_n_neighbors;param_weights;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.19107918739318847;0.015242007706977425;0.8796827793121338;0.03860297893086934;auto;30;5;distance;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 5, 'weights': 'distance'};0.4169062682690182;0.4253280870253193;0.43417149929605037;0.42869997144027505;0.42406726940240536;0.4258346190866137;0.00567114386512241;52
0.19782252311706544;0.013059871032167183;0.9790019512176513;0.04481441263645222;auto;30;7;uniform;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'weights': 'uniform'};0.4214157408365833;0.4289677196983007;0.4379307860846767;0.43514801415532733;0.4246393026769403;0.42962031269036566;0.006199528840070118;18
0.17314014434814454;0.004517244755027236;0.9284739971160889;0.03758776734460028;auto;30;7;distance;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 7, 'weights': 'distance'};0.4238671884458506;0.4302871209511334;0.44082141440140854;0.43642997127660954;0.42745610433657;0.4317723598823144;0.0061140242663658825;6
0.173783540725708;0.0015146746028219641;1.0146376132965087;0.0020294967133188393;auto;30;9;uniform;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'weights': 'uniform'};0.40848510745582556;0.4253379239270588;0.4294675680221356;0.42850856405959914;0.41830940319325394;0.42202171333157457;0.007817137357788531;61
0.17370271682739258;0.002201068298002882;1.0139170646667481;0.0022835453437598536;auto;30;9;distance;{'algorithm': 'auto', 'leaf_size': 30, 'n_neighbors': 9, 'weights': 'distance'};0.4156952055630653;0.4298179499971365;0.4356250016881854;0.43359387469819766;0.4245931286044502;0.427865032110207;0.007150673873988582;37
0.13417916297912597;0.0003234306126648557;1.5325191974639893;0.010227430334039642;ball_tree;10;3;uniform;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'uniform'};0.3661079096171469;0.37581945507676207;0.38846441294668865;0.37344188903117825;0.35863170532887545;0.37249307440013024;0.009999565934720692;75
0.1341714382171631;0.0012510901148906977;1.5281594753265382;0.011208015714063527;ball_tree;10;3;distance;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 3, 'weights': 'distance'};0.3574890299168908;0.36537130820972585;0.3797212402024849;0.3638274370593775;0.3511098298521409;0.363503769048124;0.00955390652827069;87
0.1458604335784912;0.010337311247379771;1.811234474182129;0.058554771293758016;ball_tree;10;5;uniform;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'uniform'};0.4196879743574723;0.42959340396105306;0.43688827872963365;0.4325766943080491;0.42668732532400744;0.42908673533604313;0.005786095097422672;25
0.13570775985717773;0.00423410086374765;1.7261042594909668;0.011239162483164138;ball_tree;10;5;distance;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 5, 'weights': 'distance'};0.41693669694772906;0.4253315679612678;0.43439089026037503;0.428671742520788;0.42401031974171266;0.42586824348637453;0.005727260072714617;49
0.1325777530670166;0.00037602643623305435;1.88022837638855;0.011526537251721312;ball_tree;10;7;uniform;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'uniform'};0.4214588002133951;0.42901826027056544;0.43800239829364696;0.43523552695735335;0.42465871959801516;0.42967474106659526;0.006218767355774235;13
0.13211383819580078;0.0011982347920381638;1.8824501514434815;0.018089763312193863;ball_tree;10;7;distance;{'algorithm': 'ball_tree', 'leaf_size': 10, 'n_neighbors': 7, 'weights': 'distance'};0.42389339431063155;0.4303301268798224;0.4408872746909547;0.4365020434159639;0.4274698563425541;0.43181653912798534;0.006133701826652406;1
